Category,Sub Category,Top Brand,Brand Name,Brand Count
Clothing  Shoes & Jewelry,Men,NO,Michael Stars,22,
Clothing  Shoes & Jewelry,Men,NO,Minnetonka,2,
Clothing  Shoes & Jewelry,Men,NO,Mizuno,24,
Clothing  Shoes & Jewelry,Men,NO,Moose Knuckles,11,
Clothing  Shoes & Jewelry,Men,NO,Movado,2,
Clothing  Shoes & Jewelry,Men,NO,Muck Boot,25,
Clothing  Shoes & Jewelry,Men,NO,MUK LUKS,29,
Clothing  Shoes & Jewelry,Men,NO,My Little Pony,2,
Clothing  Shoes & Jewelry,Men,NO,Naked,20,
Clothing  Shoes & Jewelry,Men,NO,Naked & Famous Denim,151,
Clothing  Shoes & Jewelry,Men,NO,Nat Nast,90,
Clothing  Shoes & Jewelry,Men,NO,Native,2,
Clothing  Shoes & Jewelry,Men,NO,Nautica,1003,
Clothing  Shoes & Jewelry,Men,NO,NEFF,240,
Clothing  Shoes & Jewelry,Men,NO,New Balance,288,
Clothing  Shoes & Jewelry,Men,NO,Nicholas K,1,
Clothing  Shoes & Jewelry,Men,NO,Nickelodeon,62,
Clothing  Shoes & Jewelry,Men,NO,Nintendo,39,
Clothing  Shoes & Jewelry,Men,NO,NIXON,52,
Clothing  Shoes & Jewelry,Men,NO,Nudie Jeans,102,
Clothing  Shoes & Jewelry,Men,NO,NY Collection,14,
Clothing  Shoes & Jewelry,Men,NO,NYX,2,
Clothing  Shoes & Jewelry,Men,NO,O'Neill,504,
Clothing  Shoes & Jewelry,Men,NO,Oakley,287,
Clothing  Shoes & Jewelry,Men,NO,Olympia,1,
Clothing  Shoes & Jewelry,Men,NO,onia,31,
Clothing  Shoes & Jewelry,Men,NO,Original Penguin,1039,
Clothing  Shoes & Jewelry,Men,NO,PAIGE,106,
Clothing  Shoes & Jewelry,Men,NO,Pajar,8,
Clothing  Shoes & Jewelry,Men,NO,papi,47,
Clothing  Shoes & Jewelry,Men,NO,parke & ronen,58,
Clothing  Shoes & Jewelry,Men,NO,Peanuts,3,
Clothing  Shoes & Jewelry,Men,NO,PEDS,13,
Clothing  Shoes & Jewelry,Men,NO,Pendleton,209,
Clothing  Shoes & Jewelry,Men,NO,Perry Ellis,685,
Clothing  Shoes & Jewelry,Men,NO,Petit Lem,1,
Clothing  Shoes & Jewelry,Men,NO,PGA TOUR,138,
Clothing  Shoes & Jewelry,Men,NO,Piel Leather,1,
Clothing  Shoes & Jewelry,Men,NO,Pink Lotus,1,
Clothing  Shoes & Jewelry,Men,NO,Propét,1,
Clothing  Shoes & Jewelry,Men,NO,Psycho Bunny,38,
Clothing  Shoes & Jewelry,Men,NO,Pulsar,4,
Clothing  Shoes & Jewelry,Men,NO,PUMA,426,
Clothing  Shoes & Jewelry,Men,NO,Quiksilver,1200,
Clothing  Shoes & Jewelry,Men,NO,Rainforest,12,
Clothing  Shoes & Jewelry,Men,NO,RALPH LAUREN,1,
Clothing  Shoes & Jewelry,Men,NO,Rawlings,20,
Clothing  Shoes & Jewelry,Men,NO,Ray-Ban,7,
Clothing  Shoes & Jewelry,Men,NO,Reebok,101,
